ID,NUM_VOTAVEL,TOTAL_VOTOS,SHARE,ANO,NOME_CANDIDATO,SIGLA_PARTIDO,DESCRICAO_CARGO
558,43888,656,2.8%,2012,SANDRO DE MOURA ALEXANDRE,PV,VEREADOR
559,12345,493,2.1%,2012,LEONEL BRIZOLA,PDT,VEREADOR
560,10789,440,1.9%,2012,TÂNIA CRISTINA MAGALHÃES BASTOS E SILVA,PRB,VEREADOR
561,50,428,1.8%,2012,NA,NA,NA
562,22002,424,1.8%,2012,VERONICA CHAVES DE CARVALHO COSTA,PR,VEREADOR
563,15001,392,1.7%,2012,LUIZ ANTÔNIO CHRISPIM GUARANÁ,PMDB,VEREADOR
564,36400,244,1.1%,2012,MARTA MARIANO DE OLIVERA,PTC,VEREADOR
565,12129,216,0.9%,2012,SEBASTIAO LUIZ VIEIRA,PDT,VEREADOR
566,12129,216,0.9%,2012,CARLOS HENRIQUE DA CONCEICAO GARCIA,PDT,VEREADOR
567,23100,204,0.9%,2012,CHARLES GLEDSON CONRADO,PPS,VEREADOR
568,31151,195,0.8%,2012,CRISTIANE LESCAUT DA SILVA,PHS,VEREADOR
569,15007,190,0.8%,2012,PATRICIA AMORIM SIHMAN,PMDB,VEREADOR
570,12456,185,0.8%,2012,JORGE HENRIQUE MARTINS MANAIA,PDT,VEREADOR
571,15159,165,0.7%,2012,THIAGO KWIATKOWSKI RIBEIRO,PMDB,VEREADOR
572,40044,156,0.7%,2012,CARLOS EDUARDO DE MATTOS,PSB,VEREADOR
573,31001,149,0.6%,2012,JOSE CARLOS FERREIRA DO CARMO,PHS,VEREADOR
574,25800,146,0.6%,2012,EDMUNDO FONTENELLE COELHO,DEM,VEREADOR
575,40100,146,0.6%,2012,RAFAEL COBALEA BELLUCCI,PSB,VEREADOR
576,40777,145,0.6%,2012,ARMANDO JOSE TAVARES FERREIRA,PSB,VEREADOR
577,17012,142,0.6%,2012,ADELSON PEREIRA GUEDES,PSL,VEREADOR
578,45654,142,0.6%,2012,JORGE LUIZ ANDRADE DA SILVA,PSDB,VEREADOR
579,15777,140,0.6%,2012,CLAUDIA BUENO GONÇALVES,PMDB,VEREADOR
580,27100,136,0.6%,2012,OTONI MOURA DE PAULO JUNIOR,PSDC,VEREADOR
581,19319,134,0.6%,2012,IRAN CAMARA DOMINGUES,PTN,VEREADOR
582,25,123,0.5%,2012,NA,NA,NA
583,27999,115,0.5%,2012,JOÃO RICARDO RIBAS JUNIOR,PSDC,VEREADOR
584,11748,102,0.4%,2012,ANTONIO DE ARAUJO MEDEIROS SILVA,PP,VEREADOR
585,13000,101,0.4%,2012,MARCELO ARAR,PT,VEREADOR
586,45,98,0.4%,2012,NA,NA,NA
587,20010,89,0.4%,2012,CLÁUDIO BOMFIM DE CASTRO E SILVA,PSC,VEREADOR
588,13513,86,0.4%,2012,MOZART SANTANA CHALFUN,PT,VEREADOR
589,25111,82,0.4%,2012,CESAR EPITÁCIO MAIA,DEM,VEREADOR
590,25622,82,0.4%,2012,CARLO FERREIRA DE CAIADO CASTRO,DEM,VEREADOR
591,15015,74,0.3%,2012,ALEXANDRE ISQUIERDO MOREIRA,PMDB,VEREADOR
592,14014,69,0.3%,2012,MARIA LAURA MONTEZA DE SOUZA CARNEIRO,PTB,VEREADOR
593,25095,67,0.3%,2012,MARCELO GONÇALVES COSTA LOPES,DEM,VEREADOR
594,43,62,0.3%,2012,NA,NA,NA
595,28999,59,0.3%,2012,PAULO CIRO DA SILVA MENDONÇA,PRTB,VEREADOR
596,13,58,0.3%,2012,NA,NA,NA
597,25100,57,0.2%,2012,MÁRCIO DE CASTRO CORDEIRO,DEM,VEREADOR
598,55002,56,0.2%,2012,ARONY RIBEIRO DE ANDRADE,PSD,VEREADOR
599,40,53,0.2%,2012,NA,NA,NA
600,10,52,0.2%,2012,NA,NA,NA
601,15101,7129,30.2%,2014,DOMINGOS BRAZÃO,PMDB,DEPUTADO ESTADUAL
602,95,2706,11.4%,2014,NA,NA,NA
603,96,1525,6.4%,2014,NA,NA,NA
604,77088,1223,5.2%,2014,TIO CARLOS,SD,DEPUTADO ESTADUAL
605,50123,847,3.6%,2014,MARCELO FREIXO,PSOL,DEPUTADO ESTADUAL
606,55123,782,3.3%,2014,WAGNER MONTES,PSD,DEPUTADO ESTADUAL
607,15,604,2.6%,2014,NA,NA,NA
608,77777,451,1.9%,2014,BEBETO TETRA,SD,DEPUTADO ESTADUAL
609,15001,448,1.9%,2014,TIAGO MOHAMED,PMDB,DEPUTADO ESTADUAL
610,13,421,1.8%,2014,NA,NA,NA
611,28100,328,1.4%,2014,SOLY LOPES,PRTB,DEPUTADO ESTADUAL
612,31001,302,1.3%,2014,CARLÃO CIDADÃO,PHS,DEPUTADO ESTADUAL
613,10100,251,1.1%,2014,CARLOS MACEDO,PRB,DEPUTADO ESTADUAL
614,10123,247,1%,2014,TIA JU,PRB,DEPUTADO ESTADUAL
615,40,228,1%,2014,NA,NA,NA
616,13013,225,1%,2014,ROBSON LEITE,PT,DEPUTADO ESTADUAL
617,77890,197,0.8%,2014,ABELARDINHO,SD,DEPUTADO ESTADUAL
618,13011,186,0.8%,2014,ADELSON GUEDES,PT,DEPUTADO ESTADUAL
619,22111,181,0.8%,2014,FILIPE SOARES,PR,DEPUTADO ESTADUAL
620,11120,172,0.7%,2014,FLÁVIO BOLSONARO,PP,DEPUTADO ESTADUAL
621,55777,159,0.7%,2014,SAMUEL MALAFAIA,PSD,DEPUTADO ESTADUAL
622,20010,154,0.7%,2014,MÁRCIO PACHECO,PSC,DEPUTADO ESTADUAL
623,15021,152,0.6%,2014,OSORIO,PMDB,DEPUTADO ESTADUAL
624,45,138,0.6%,2014,NA,NA,NA
625,15159,137,0.6%,2014,RAFAEL PICCIANI,PMDB,DEPUTADO ESTADUAL
626,27888,135,0.6%,2014,MARCELLO SICILIANO,PSDC,DEPUTADO ESTADUAL
627,10,124,0.5%,2014,NA,NA,NA
628,15505,111,0.5%,2014,PEDRO AUGUSTO,PMDB,DEPUTADO ESTADUAL
629,15011,104,0.4%,2014,MARCELO SIMÃO,PMDB,DEPUTADO ESTADUAL
630,12212,103,0.4%,2014,CIDINHA CAMPOS,PDT,DEPUTADO ESTADUAL
631,77,98,0.4%,2014,NA,NA,NA
632,22,97,0.4%,2014,NA,NA,NA
